Teff,eTeff,logg,elogg,[Fe/H],e[Fe/H],RV,eRV,RA,DEC,gaiaDR3,Gmag,Stri,eStri,SMWO,eSMWO,logRHKcl,elogRHKcl,logRHKph,elogRHKph,logRpHKcl,elogRpHKcl,logRpHKph,elogRpHKph
6295.38,10.68,4.345,0.013,0.089,0.006,3.16,1.95,34.35553,28.74481,107774202769886848,6.904095,0.290549,0.003294,0.261994,0.006001,-4.277435,0.010178,-4.109027,0.010226,-4.444017,0.014912,-4.494861,0.015467
5913.01,14.23,4.485,0.018,0.075,0.008,5.23,2.59,34.35331,28.74158,107774198474602368,7.622567,0.310852,0.002338,0.301471,0.004842,-4.304494,0.007962,-4.13708,0.007845,-4.463187,0.010869,-4.508228,0.010826
5769.12,22.73,4.499,0.028,0.355,0.012,-31.39,4.14,21.57968,-4.6744,2482274463233174016,7.985654,0.266739,0.003427,0.222232,0.005248,-4.478287,0.012448,-4.330764,0.012207,-4.712852,0.01887,-4.765261,0.017813
5771.4,19.25,4.488,0.024,0.031,0.011,14.82,3.51,32.717,13.68277,77161217776670208,8.025245,0.318368,0.005482,0.317549,0.012044,-4.32259,0.017472,-4.148012,0.017262,-4.472608,0.023957,-4.505995,0.02388
4842.18,33.51,4.67,0.041,0.158,0.018,27.67,6.11,60.281688,33.195872,170457601190857728,9.483366,0.411759,0.002311,0.605615,0.009659,-4.432058,0.019843,-4.204753,0.016624,-4.458593,0.017898,-4.420663,0.015043
4842.21,26.77,4.693,0.033,-0.278,0.015,25.07,4.88,28.152097,36.3425375,342307489038297472,9.792241,0.265893,0.002675,0.220936,0.004127,-4.869972,0.016517,-4.596449,0.013683,-4.946974,0.013136,-4.859115,0.010664
5074.46,22.86,4.684,0.028,-0.28,0.013,-31.01,4.17,139.62582,26.203602,693939931895547136,9.36002,0.23707,0.003232,0.181022,0.004013,-4.837544,0.014632,-4.592194,0.012862,-5.002414,0.0146,-4.94548,0.013649
5142.36,36.24,4.56,0.047,0.02,0.025,19.15,6.19,347.71097,0.40931,2651390587219807744,8.788991,0.229427,0.005321,0.171706,0.006329,-4.828569,0.023021,-4.613872,0.020941,-5.027806,0.025674,-4.965927,0.02258
5095.05,36.75,4.707,0.045,0.218,0.02,36.63,6.7,66.4492092,18.017272,3314440285393131008,8.930031,0.416814,0.002855,0.627153,0.012422,-4.288089,0.01921,-4.093617,0.016573,-4.33102,0.017497,-4.324742,0.014539
5313.25,19.06,4.608,0.023,0.27,0.01,40.06,3.47,72.1768577,21.101026,3411887595780736000,19.197523,0.342929,0.001072,0.376314,0.00278,-4.412962,0.008466,-4.238803,0.007401,-4.511586,0.007201,-4.517408,0.005468
