hpic_name,tess_id,Prot(d),Pcyc(yr)
TIC 219030951,219030951,14,12.9
TIC 445070560,445070560,12.35,16.6
TIC 355127594,355127594,9.67,12.2
TIC 275240386,275240386,13.94,16.9
TIC 184281898,184281898,7.78,9.1
TIC 343813545,343813545,9.24,5.6
TIC 62569281,62569281,15,...
TIC 326927305,326927305,11.43,10.9
TIC 46802551,46802551,40.2,8.2
TIC 309599261,309599261,31,7.3
TIC 373765355,373765355,18.47,12.4
TIC 58092025,58092025,21.07,16.2
TIC 79841001,79841001,21,21
TIC 257393898,257393898,38.5,8.6
TIC 113710966,113710966,38.2,9.6
TIC 349491678,349491678,36.4,7
TIC 165602000,165602000,35.37,7.3
TIC 165602023,165602023,37.84,10.5
TIC 434210589,434210589,44,14.6
TIC 278962915,278962915,48,13.2
TIC 67772871,67772871,43,10.1
TIC 213041474,213041474,48,11.1
TIC 75946144,75946144,42.4,15.8
TIC 214664575,214664575,43,10
