hpic_name,tess_id,Prot(d),Pcyc(yr),Pcyc_e(yr)
TIC 434210589,TIC 434210589 ,44,14.9,0.2
TIC 257393898,TIC 257393898 ,38.5,8.47,0.05
TIC 113710966,TIC 113710966 ,35.2,10.59,0.1
TIC 278962915,TIC 278962915 ,48,12.7,0.11
TIC 67772871,TIC 67772871 ,43,10.23,0.07
TIC 213041474,TIC 213041474 ,48,10.84,0.15
TIC 46802551,TIC 46802551 ,40.2,8.01,0.05
TIC 309599261,TIC 309599261 ,31,7.06,0.05
TIC 326927305,TIC 326927305 ,11.43,11.97,0.1
TIC 349491678,TIC 349491678 ,36.4,7.19,0.04
TIC 75946144,TIC 75946144 ,42.4,17.05,0.2
TIC 259237827,TIC 259237827 ,29,7.07,0.14
TIC 165602000,TIC 165602000 ,35.7,7.1,0.05
TIC 214664575,TIC 214664575 ,43,9.42,0.1
TIC 184281898,TIC 184281898 ,7.78,22,0.93
TIC 101641846,TIC 101641846 ,16.68,23.2,1.5
TIC 58092025,TIC 58092025 ,21.07,15.3,0.4
TIC 275240386,TIC 275240386 ,13.94,2.6,0.02
TIC 343813545,TIC 343813545 ,9.24,22.3,0.98
TIC 373694425,TIC 373694425 ,21.7,10.14,0.31
TIC 91415280,TIC 91415280 ,3,5.89,0.11
TIC 283792891,TIC 283792891 ,7.1,13.3,0.5
TIC 283792884,TIC 283792884 ,60.4,8.58,0.17
TIC 311063391,TIC 311063391 ,10.74,3.67,0.07
TIC 62569281,TIC 62569281 ,15,18.1,0.76
TIC 355127594,TIC 355127594 ,9.67,13.34,0.38
TIC 172533278,TIC 172533278 ,5.37,13.84,3.9
TIC 8915802,TIC 8915802 ,18.6,7.69,0.14
TIC 219030951,TIC 219030951 ,14.6,3.6,0.04
TIC 157272202,TIC 157272202 ,5.86,1.6,0.02
TIC 397587084,TIC 397587084 ,3.33,11.79,0.28
TIC 135656809,TIC 135656809 ,22.7,11.36,1.23
TIC 1277142190,TIC 1277142190 ,21.11,5.83,0.01
TIC 79841001,TIC 79841001 ,21,21.3,0.83
TIC 1674663309,TIC 1674663309 ,19.7,5.07,0.05
TIC 345217789,TIC 345217789 ,28.98,5.38,0.06
TIC 165602023,TIC 165602023 ,37.84,11.1,0.18
TIC 370137704,TIC 370137704 ,37.1,7.7,0.5
TIC 279069526,TIC 279069526 ,22.3,5,0.2
TIC 197792776,TIC 197792776 ,36.3,7.4,0.3
TIC 49831913,TIC 49831913 ,21.4,4.9,0.3
TIC 52121796,TIC 52121796 ,41,4,0.3
TIC 78189262,TIC 78189262 ,36.7,4.2,0.1
TIC 36733752,TIC 36733752 ,21.1,4,0.8
TIC 464013520,TIC 464013520 ,24.3,3.9,0.5
TIC 289624436,TIC 289624436,14.1,4.6,0.2
TIC 111267568,TIC 111267568 ,30.7,4.5,2.2
TIC 87989721,TIC 87989721 ,30.9,2.4,0.2
TIC 279741379,TIC 279741379 ,34.5,9.1,6.3
TIC 303655974,TIC 303655974 ,45.8,5.9,0.1
TIC 71094440,TIC 71094440 ,11.3,2.9,0.1
