hpic_name,tess_id,period(d)
TIC 353804063,353804063,nan
TIC 191992218,191992218,3.49782
TIC 95339414,95339414,7.832371
TIC 126236473,126236473,8.185741
TIC 418024443,418024443,1.152113
TIC 417545885,417545885,0.3701
TIC 257728991,257728991,nan
TIC 418998975,418998975,0.138493
TIC 371477593,371477593,nan
TIC 150276644,150276644,4.432458
TIC 296321403,296321403,2.242408
TIC 427238624,427238624,0.90232
TIC 249064742,249064742,nan
TIC 142452434,142452434,4.556004
TIC 168901705,168901705,6.506767
TIC 50979177,50979177,0.199475
TIC 425940082,425940082,0.273569
TIC 234506911,234506911,1.250258
TIC 167699908,167699908,nan
TIC 21628045,21628045,7.359221
TIC 147288142,147288142,nan
GAIA DR3 5721905003970002688,409797166,3.270243
TIC 57513388,57513388,nan
TIC 423570424,423570424,2.105416
TIC 9854161,9854161,0.457408
TIC 406095880,406095880,0.939664
TIC 224225152,224225152,0.775872
GAIA DR3 2312002988748576640,169265855,1.19092
TIC 447600235,447600235,440.186035
