hpic_name,simbad_name,KIC,Prot(d),E_Prot(d),Sph(ppm),E_Sph(ppm)
TIC 121214976,LSPM J1909+3910,4043389,38.50,2.60,4226.3,87.9
TIC 121215012,StKM 1-1680,4142913,38.24,3.06,1609.2,41.5
TIC 138104312,Ross 1063,4470937,72.35,5.13,1063.7,18.7
TIC 138216220,PM J19342+3957,4841888,33.52,2.91,2438.0,63.3
TIC 274127410,G 208-44,8451868,0.70,0.05,2738.2,433.8
TIC 274127413,G 208-45,8451881,0.70,0.05,2637.0,409.2
TIC 273589987,G 208-42,9726699,0.58,0.04,5860.5,991.6
TIC 48189085,G 205-38,10647081,67.97,5.34,2973.5,47.1
TIC 26960898,TYC 3560-2104-1,10801273,28.38,1.90,1231.6,30.2
TIC 290033328,TYC 3551-44-1,11861997,15.64,1.24,1626.4,53.6
